Item,Brand,Seller,Category,Price,Ratings,URLId
Apple iPhone 12 Pro Max,Apple,Apple,Smartphones,1938.65,387,1
Apple iPhone 13 Pro,Apple,Apple,Smartphones,2149.00,81,2
   Apples iPhones 13 Pro  13 Pro Max  Global Version HK Spec  ,No Brand,ALPHA TELECOM,Smartphones,1799.00,3,3
Apples iPhones 13 Pro Max  128 256 512 1TB ,No Brand,ATT Technology,Smartphones,2559.00,0,4
Samsung Galaxy Z Fold3 5G,Samsung,Samsung,Smartphones,2298.00,44,5
Samsung Galaxy S21 Ultra 5G,Samsung,Samsung,Smartphones,1480.00,101,6
Samsung Galaxy S21 Ultra 5G,Samsung,Singtel Flagship Store,Smartphones,1798.00,0,7
   Samsung Galaxy S21 Ultra 5G   1 Year Local Samsung Warranty,Samsung,mosimosi,Smartphones,1299.00,45,8
HUAWEI Mate 40 Pro 5G  6 76 inches OLED   8GB RAM   256GB ROM   50MP Triple Camera   4400mAh Battery    Launch 12 Dec,Huawei,BELLS,Smartphones,1298.00,0,9
Huawei Mate 40 Pro 5G 8 256  Huawei SG Warranty ,Huawei,Inno Shop,Smartphones,1208.00,1,10
Huawei Mate 40 Pro 5G  8 128 8 256 8 512,Huawei,Inno Shop,Smartphones,1778.00,3,11
Apple MacBook Air 13 inch  Apple M1 chip with 8 core CPU and 7 core GPU  256GB,Apple,Apple,Laptops,1398.00,148,12
Apple MacBook Air 13 inch  Apple M1 chip with 8 core CPU and 8 core GPU  512GB,Apple,Apple,Laptops,1799.00,68,13
Apples Macbooks Air M1 chip with 8 core CPU and 7 core GPU 256GB   512GB  13 3 inch Retina  Apples warranty,No Brand,E Nation,Laptops,1729.00,0,14
   Acer Aspire 5 A515 45 R3XU R0SQ 15 6 Inches FHD IPS Laptop 8GB RAM   512GB SSD,Acer,Acer,Laptops,1098.00,8,15
 Express Delivery  Acer Aspire 5 A514 54   14  FHD IPS   Intel i5 1135G7   8GB DDR4   512GB SSD   Iris Xe Graphics   2Y AcerWarranty   A514 54 517H  BLU  A514 54 5126  PNK   A514 54 50N7  GLD ,Acer,ATRiX Aurora Computer,Laptops,928.00,3,16
Acer Aspire 5 A514 54G 54J1  Silver    14  FHD IPS Laptop with Latest 11th Gen i5 1135G7 Processor and NVIDIA MX350 Graphic,Acer,Pasar Malam Corner,Laptops,1148.00,0,17
    Acer Aspire 5 A515 56G 586Y   15 6  FHD NEW 11th Gen i5 1135G7   8GB  512GB SSD  NVIDIA MX350 Graphics  WIN10  2years warranty by Acer,Acer,DYNACORE LAPTOP MALL,Laptops,979.00,0,18
    AMD Ryzen 5000 Series  Acer Aspire 5 A515 45 R5NH 15 6 Inches FHD IPS Laptop   Ryzen 5 5500U Processor   16GB RAM,Acer,neosin,Laptops,998.00,0,19
  ASUS ZenBook 14 UX425EA KI420T 1 17Kg   14inch FHD 100  sRGB 300nits   16GB DDR4X RAM   i7 1165G7   Iris Xᵉ Graphics   Win10 Home   2Yr ASUS Warranty   UX425 UX425JA Zenbook 14,ASUS,ATRiX Aurora Computer,Laptops,1693.00,82,20
 display clearance  Asus ZenBook 14    UM425IA AM048T   Pine Grey   Ryzen 7 4700U   16GB RAM   512GB SSD   Windows 10 Home   1 22kg   14 inch Laptop   WIFI 6   2 yr,ASUS,TRADENSYNC,Laptops,1299.00,1,21
