Item,Brand,Seller,Category,Price,Ratings,URLId
Apple iPhone 12 Pro Max,Apple,Apple,More Smartphones  from Apple,"$1,938.65",387 Ratings,1
Apple iPhone 13 Pro,Apple,Apple,More Smartphones  from Apple,"$2,149.00",82 Ratings,2
[Dual Nano Sim] Apples iPhones 13 Pro/ 13 Pro Max *Global Version HK Spec.*,No Brand,ALPHA TELECOM,More Smartphones  from No Brand,"$1,799.00",3 Ratings,3
Apples iPhones 13 Pro Max (128/256/512/1TB),No Brand,ATT Technology,More Smartphones  from No Brand,"$2,559.00",No Ratings,4
Samsung Galaxy Z Fold3 5G,Samsung,Samsung,More Smartphones  from Samsung,"$2,298.00",44 Ratings,5
Samsung Galaxy S21 Ultra 5G,Samsung,Samsung,More Smartphones  from Samsung,"$1,498.00",101 Ratings,6
Samsung Galaxy S21 Ultra 5G,Samsung,Singtel Flagship Store,More Smartphones  from Samsung,"$1,798.00",No Ratings,7
【Brand New And Sealed Set】 Samsung Galaxy S21 Ultra 5G | 1 Year Local Samsung Warranty,Samsung,mosimosi,More Smartphones  from Samsung,"$1,299.00",44 Ratings,8
HUAWEI Mate 40 Pro 5G (6.76 inches OLED / 8GB RAM / 256GB ROM / 50MP Triple Camera / 4400mAh Battery) - Launch 12 Dec,Huawei,BELLS,More Smartphones  from Huawei,"$1,298.00",No Ratings,9
Huawei Mate 40 Pro 5G 8+256 (Huawei SG Warranty),Huawei,Inno Shop,More Smartphones  from Huawei,"$1,208.00",1 Ratings,10
Huawei Mate 40 Pro 5G  8+128/8+256/8+512,Huawei,Inno Shop,More Smartphones  from Huawei,"$1,778.00",3 Ratings,11
"Apple MacBook Air 13-inch: Apple M1 chip with 8-core CPU and 7-core GPU, 256GB",Apple,Apple,More Laptops from Apple,"$1,398.00",148 Ratings,12
"Apple MacBook Air 13-inch: Apple M1 chip with 8-core CPU and 8-core GPU, 512GB",Apple,Apple,More Laptops from Apple,"$1,728.00",68 Ratings,13
Apples Macbooks Air M1 chip with 8-core CPU and 7-core GPU 256GB / 512GB (13.3-inch Retina) Apples warranty,No Brand,E Nation,More Laptops from No Brand,"$1,729.00",No Ratings,14
[AMD Ryzen 7 5700U] Acer Aspire 5 A515-45-R3XU/R0SQ 15.6 Inches FHD IPS Laptop 8GB RAM | 512GB SSD,Acer,Acer,More Laptops from Acer,"$1,098.00",8 Ratings,15
"【Express Delivery】 Acer Aspire 5 A514-54 | 14"" FHD IPS | Intel i5-1135G7 | 8GB DDR4 | 512GB SSD | Iris Xe Graphics | 2Y AcerWarranty | A514-54-517H (BLU) A514-54-5126 (PNK)  A514-54-50N7 (GLD)",Acer,ATRiX Aurora Computer,More Laptops from Acer,$928.00,3 Ratings,16
"Acer Aspire 5 A514-54G-54J1 (Silver) - 14"" FHD IPS Laptop with Latest 11th Gen i5-1135G7 Processor and NVIDIA MX350 Graphic",Acer,Pasar Malam Corner,More Laptops from Acer,"$1,148.00",No Ratings,17
"【DELIVERY IN 24 HOURS】DYNACORE - Acer Aspire 5 A515-56G-586Y - 15.6"" FHD NEW 11th Gen i5-1135G7 | 8GB| 512GB SSD| NVIDIA MX350 Graphics| WIN10| 2years warranty by Acer",Acer,DYNACORE LAPTOP MALL,More Laptops from Acer,$979.00,No Ratings,18
[PRE ORDER] [AMD Ryzen 5000 Series] Acer Aspire 5 A515-45-R5NH 15.6 Inches FHD IPS Laptop | Ryzen 5 5500U Processor | 16GB RAM,Acer,neosin,More Laptops from Acer,$998.00,No Ratings,19
【Same Day Delivery】ASUS ZenBook 14 UX425EA-KI420T 1.17Kg | 14inch FHD 100% sRGB 300nits | 16GB DDR4X RAM | i7-1165G7 | Iris Xᵉ Graphics | Win10 Home | 2Yr ASUS Warranty | UX425 UX425JA Zenbook 14,ASUS,ATRiX Aurora Computer,More Laptops from ASUS,"$1,693.00",82 Ratings,20
(display clearance) Asus ZenBook 14 |  UM425IA-AM048T | Pine Grey | Ryzen 7 4700U | 16GB RAM | 512GB SSD | Windows 10 Home | 1.22kg | 14-inch Laptop | WIFI-6 | 2 yr,ASUS,TRADENSYNC,More Laptops from ASUS,"$1,299.00",1 Ratings,21
【Next Day Delivery】ASUS ZenBook 14 UX435EG-K9172T | Intel Core i7-1165G7 Processor | 16GB RAM | 1TB PCIe SSD | NVIDIA GeForce MX450 Graphics 2GB GDDR6 | Windows 10 Home | 2 Years International Warranty | Ultralight  New Laptop,ASUS,On-Smart,More Laptops from ASUS,"$1,998.00",No Ratings,22
ASUS ZenBook 14 UX425EA-KI420T | i7-1165G7 | 16GB RAM | 512GB SSD | 1.17Kg,ASUS,Orasys,More Laptops from ASUS,"$1,698.00",No Ratings,23
"Lenovo Yoga Slim 7 Pro | 82MS0017SB | Light Silver | AMD Ryzen 9 5900HX (8C / 16T, 3.3 / 4.6GHz) | 14"" 2.8K (2880x1800) IPS | 16GB DDR4X | 512GB SSD | Win10 Home | 2Y ADP",Lenovo,Lenovo,More Laptops from Lenovo,"$1,999.00",2 Ratings,24
Lenovo Yoga Slim 7i Pro 14ITL5 | 82FX003MSB | 14inch 2.8K IPS 400nits | intel core i7-1165G7 | 16GB RAM | 1TB SSD | GeForce MX450 | 2Y ADP Warranty,Lenovo,Lenovo,More Laptops from Lenovo,"$1,799.00",1 Ratings,25
"【Same Day Delivery】Lenovo Yoga Slim 7 Pro (82MS0017SB)〖Bundle MS Office〗1.32Kg| AMD Ryzen 9 5900HX | 14inch 2.8K (2880x1800) 90Hz, 100% sRGB, Dolby Vision | 16GB DDR4-3200 | 512GB SSD| WIFI6 AX | Radeon Graphics | 61Wh Battery | 2Y ADP",Lenovo,ATRiX Aurora Computer,More Laptops from Lenovo,"$1,899.00",47 Ratings,26
[Bulky] PRISM+ Q55 Quantum Edition | 4K Android TV | 55 inch | Quantum Colors | Google Playstore | Inbuilt Chromecast | HDR10 | IPS Panel | ZeroBezel | 4K Netflix & Youtube | Dolby Audio | DTS TruSurround | Digital TV | Wifi,Prism+,PrismPlus,More Smart Televisions from Prism+,$799.00,2211 Ratings,28
[Bulky] NEW 2021 Xiaomi TV | P1 55 inch 4K UHD | Android 10 Smart TV | Hands-free Google Assistant | Voice Search | HDR10+ | Netflix | Youtube | Stereo Speakers [Official Warranty],Xiaomi,Xiaomi,More Smart Televisions from Xiaomi,$849.00,142 Ratings,29
"[Bulky] [Pre-order] Samsung 43"" AU7000 UHD 4K Smart TV (2021) 4 Ticks / 36 Months Warranty [Ship from 9th November 2021]",Samsung,Samsung Brand Store,More Smart Televisions from Samsung,$799.00,58 Ratings,30
[FREE GIFT]  Ready Stock Mi TV 4S Global Edition 55inch / 65inch Mi Android Smart TV  | 1 Year Warranty | L55M5-5ASP & L65M5-5ASP | Energy Efficiency 4 Ticks,MI,techliving,More Smart Televisions from MI,"$1,024.00",6 Ratings,31
[Bulky] LG FV1409S4W 9KG AI Direct Drive Front Load Washing Machine + Free Delivery + Free Installation + Free Disposal,LG,LG,More Washing Machines from LG,"$1,069.00",13 Ratings,32
[Bulky] LG FV1450S2K 10.5KG AI Direct Drive Front Load Washing Machine + Free Fiji Detergent Bundle + Free Delivery + Free Installation + Free Disposal,LG,LG,More Washing Machines from LG,"$1,569.00",3 Ratings,33
